Symbol,Security Name,MIC Type,Instrument Class,Market Tier,Financial Status,Round Lot Size
AAAP,Pacer Barings CLO Market Flex ETF,etf,ETF,Nasdaq Global Market,N,100
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Global Market,D,100
AACBR,Artius II Acquisition Inc. - Rights,stock,Right,Nasdaq Global Market,N,100
AACBU,Artius II Acquisition Inc. - Units,stock,Unit,Nasdaq Global Market,N,100
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",stock,Depositary Share,Nasdaq Capital Market,N,100
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,stock,Ordinary Share,Nasdaq Global Market,N,100
AACIU,Armada Acquisition Corp. III - Units,stock,Unit,Nasdaq Global Market,N,100
AACIW,Armada Acquisition Corp. III - Warrant,stock,Warrant,Nasdaq Global Market,N,100
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,stock,Ordinary Share,Nasdaq Global Market,N,100
AACOU,Abony Acquisition Corp. I - Units,stock,Unit,Nasdaq Global Market,N,100
AACOW,Abony Acquisition Corp. I - Warrants,stock,Warrant,Nasdaq Global Market,N,100
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Global Market,N,100
AACPR,Apogee Acquisition Corp - Rights,stock,Right,Nasdaq Global Market,N,100
AACPU,Apogee Acquisition Corp - Units,stock,Unit,Nasdaq Global Market,N,100
AACPW,Apogee Acquisition Corp - Warrant,stock,Warrant,Nasdaq Global Market,N,100
AADR,AdvisorShares Dorsey Wright ADR ETF,etf,ETF,Nasdaq Global Market,N,100
AAEQ,Alpha Architect US Equity 2 ETF,etf,ETF,Nasdaq Global Market,N,100
AAL,"American Airlines Group, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
AALG,Leverage Shares 2X Long AAL Daily ETF,etf,ETF,Nasdaq Global Market,N,100
AAME,Atlantic American Corporation - Common Stock,stock,Common Stock,Nasdaq Global Market,E,100
AAOI,"Applied Optoelectronics, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
AAON,"AAON, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
AAPB,GraniteShares 2x Long AAPL Daily ETF,etf,ETF,Nasdaq Global Market,N,100
AAPD,Direxion Daily AAPL Bear 1X ETF,etf,ETF,Nasdaq Global Market,N,100
AAPG,Ascentage Pharma Group International - American Depository Shares,stock,Nasdaq Listed Security,Nasdaq Global Market,N,100
AAPL,Apple Inc. - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,40
AAPU,Direxion Daily AAPL Bull 2X ETF,etf,ETF,Nasdaq Global Market,N,100
AARD,"Aardvark Therapeutics, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
AAUB,Alpha Architect US Equity 4 ETF,etf,ETF,Nasdaq Global Market,N,100
AAUS,Alpha Architect US Equity ETF,etf,ETF,Nasdaq Global Market,N,100
AAVM,Alpha Architect Global Factor Equity ETF,etf,ETF,Nasdaq Global Market,N,100
AAXJ,iShares MSCI All Country Asia ex Japan ETF,etf,ETF,Nasdaq Global Market,N,100
ABAT,American Battery Technology Company - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
ABCL,AbCellera Biologics Inc. - Common Shares,stock,Common Stock,Nasdaq Global Select Market,N,100
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,etf,ETF,Nasdaq Global Market,N,100
ABEO,Abeona Therapeutics Inc. - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
ABI,VictoryShares Pioneer Asset-Based Income ETF,etf,ETF,Nasdaq Global Market,N,100
ABIG,Argent Large Cap ETF,etf,ETF,Nasdaq Global Market,N,100
ABLV,Able View Global Inc. - Class B Ordinary Shares,stock,Ordinary Share,Nasdaq Capital Market,N,100
ABLVW,Able View Global Inc. - Warrant,stock,Warrant,Nasdaq Capital Market,N,100
